,variable,value,entry_pressure,basal_shear_stress,basal_melt_rate,fringe_heave_rate,fringe_growth_rate,fringe_thickness,fringe_sedflux,dispersed_layer_thickness,dispersed_layer_growth_rate,dispersed_sedflux
0,default,0.0,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.7380543e-22,0.53013925113,42941.2793415,1.20496885473,1.52808118102e-10,8133.5397694
1,effective_pressure,10000.0,68000.0,6166.82637845,2.27802700411e-10,2.01386367008e-08,-0.155220207482,1e-06,0.081,0.936781796499,1.18736856157e-10,6323.27712637
2,effective_pressure,12286.2535599,68000.0,7554.80288095,2.34982984447e-10,1.93448090226e-08,-0.144665069759,1e-06,0.081,0.936781803949,1.18736857101e-10,6323.27717665
3,effective_pressure,15095.2026539,68000.0,9249.56837002,2.43750350151e-10,1.83694922074e-08,-0.132577191744,1e-06,0.081,0.936781813046,1.18736858254e-10,6323.27723806
4,effective_pressure,18546.3487344,68000.0,11316.3865973,2.54442420151e-10,1.71711932361e-08,-0.118902543427,1e-06,0.081,0.936781824141,1.1873685966e-10,6323.27731295
5,effective_pressure,22786.5143162,68000.0,13833.3284811,2.67463071146e-10,1.56989327328e-08,-0.103641837472,1e-06,0.081,0.936781837651,1.18736861373e-10,6323.27740415
6,effective_pressure,27996.0892636,68000.0,16893.384515,2.83293361824e-10,1.38900761434e-08,-0.0868617870501,1e-06,0.081,0.936781854078,1.18736863455e-10,6323.27751502
7,effective_pressure,34396.705138,68000.0,20606.8113517,3.02503672219e-10,1.16676690661e-08,-0.0687008050214,1e-06,0.081,0.936781874011,1.18736865981e-10,6323.27764957
8,effective_pressure,42260.6640951,68000.0,25103.7292472,3.25767140814e-10,8.93716337075e-09,-0.0493665982677,1e-06,0.081,0.93678189815,1.18736869041e-10,6323.27781251
9,effective_pressure,51922.5234684,68000.0,30537.00642,3.53874585916e-10,5.58239482634e-09,-0.0291243550191,1e-06,0.081,0.936781927315,1.18736872738e-10,6323.27800938
10,effective_pressure,63793.3288804,68000.0,37085.5005128,3.87751274397e-10,1.46064111201e-09,-0.00827623938337,1e-06,0.081,0.936781962468,1.18736877193e-10,6323.27824666
11,effective_pressure,78378.1014057,68000.0,44957.7772234,4.28476158925e-10,-4.28476158925e-10,-1.2351343375e-24,0.186984499816,15145.7444851,1.01988048171,1.29273959384e-10,6884.19325157
12,effective_pressure,96297.3227417,68000.0,54396.4880776,4.77304525071e-10,-4.77304525071e-10,8.60006183224e-23,0.474520554041,38436.1648773,1.17134395934,1.48524787497e-10,7906.57172552
